,image_url,product_name,source
,https://static.zara.net/photos///2020/I/0/1/p/9663/241/514/2/w/560/9663241514_1_1_1.jpg?ts=1596042384808,SLOUCHY JOGGER PANTS Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/5598/056/712/2/w/560/5598056712_1_1_1.jpg?ts=1595936588587,FRINGED KIMONO Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/4886/259/819/2/w/560/4886259819_6_1_1.jpg?ts=1595932154298,WRINKLED SATIN EFFECT SKIRT Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/4174/336/802/2/w/560/4174336802_1_1_1.jpg?ts=1594712553567,WASHED EFFECT JUMPSUIT TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/7385/265/634/2/w/560/7385265634_1_1_1.jpg?ts=1595926307079,PAPERBAG SHORTS TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/8197/222/400/2/w/560/8197222400_1_1_1.jpg?ts=1596030894378,Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/8094/202/705/2/w/560/8094202705_1_1_1.jpg?ts=1595851011866,POPLIN SHIRT WITH POCKETS TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/7385/015/250/2/w/560/7385015250_6_1_1.jpg?ts=1596024938678,EXTRA LONG POPLIN SHIRT TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/8030/336/733/2/w/560/8030336733_1_1_1.jpg?ts=1595926299813,OVERSIZED SHIRT TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/5252/207/406/2/w/560/5252207406_1_1_1.jpg?ts=1595926305259,MID-LENGTH SHORTS TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/7385/363/251/2/w/560/7385363251_1_1_1.jpg?ts=1595850915934,PLEATED PANTS TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/8197/280/406/2/w/560/8197280406_1_1_1.jpg?ts=1596012192508,PLEATED DENIM DRESS TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/8197/010/712/2/w/560/8197010712_6_1_1.jpg?ts=1595416557090,POCKET OVERSHIRT TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/7947/202/705/2/w/560/7947202705_1_1_1.jpg?ts=1595850916115,CROSSED DRESS TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/7846/049/704/2/w/560/7846049704_1_1_1.jpg?ts=1595850915805,SHORT JUMPSUIT WITH POCKETS TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/4736/203/707/2/w/560/4736203707_1_1_1.jpg?ts=1595840697878,TUBULAR MINI HANDBAG Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/7385/301/052/3/w/560/7385301052_1_1_1.jpg?ts=1595862783691,BACK PLEAT POCKET DRESS TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/3067/300/250/2/w/560/3067300250_1_1_1.jpg?ts=1595850455734,SHORT POCKET DRESS TRF Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/4736/204/707/2/w/560/4736204707_1_1_1.jpg?ts=1595587929585,MULTI-POUCH PENDANT Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/3323/204/658/2/w/560/3323204658_1_1_1.jpg?ts=1596016550014,LIMITED EDITION LEATHER MINI BAG Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/5862/159/406/2/w/560/5862159406_1_1_1.jpg?ts=1594896604742,RIPPED SHORTS Z1975 Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/6771/119/082/2/w/560/6771119082_6_1_1.jpg?ts=1595947344025,CROPPED KNIT TOP Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/6771/118/082/2/w/560/6771118082_6_1_1.jpg?ts=1595947358667,KNIT JACKET WITH BUTTONS Details,zara
,https://static.zara.net/photos///2020/I/0/1/p/6254/106/737/2/w/560/6254106737_1_1_1.jpg?ts=1596039403966,STRAPPY KNIT BODYSUIT Details,zara
