,URL,source
82,https://www.zara.com/us/en/knit-jacket-with-buttons-p03471010.html,zara
83,https://www.zara.com/us/en/cropped-knit-top-p01509108.html,zara
84,https://www.zara.com/us/en/sleeveless-knit-dress-p01509107.html,zara
85,https://www.zara.com/us/en/double-link-necklace-p04736211.html,zara
86,https://www.zara.com/us/en/knitwear-wrap-skirt-p00014004.html,zara
87,https://www.zara.com/us/en/limited-edition-leather-wristlet-coin-purse-p03920202.html,zara
88,https://www.zara.com/us/en/cropped-knit-top-p01509106.html,zara
89,https://www.zara.com/us/en/multi-pouch-pendant-p04736204.html,zara
90,https://www.zara.com/us/en/pack-of-earrings-p04319202.html,zara
91,https://www.zara.com/us/en/draped-print-dress-trf-p07946400.html,zara
92,https://www.zara.com/us/en/pack-of-printed-mini-scarves-p08585207.html,zara
93,https://www.zara.com/us/en/pack-of-beaded-necklaces-p01481204.html,zara
94,https://www.zara.com/us/en/tubular-mini-handbag-p04736203.html,zara
95,https://www.zara.com/us/en/foulard-print-scarf-p08585203.html,zara
96,https://www.zara.com/us/en/printed-scarf-p08585201.html,zara
97,https://www.zara.com/us/en/tubular-mini-handbag-p04736203.html,zara
98,https://www.zara.com/us/en/limited-edition-leather-mini-bag-trf-p02749201.html,zara
99,https://www.zara.com/us/en/limited-edition-leather-mini-bag-trf-p02749201.html,zara
100,https://www.zara.com/us/en/combination-dress-p05644713.html,zara
101,https://www.zara.com/us/en/foulard-print-scarf-p00594201.html,zara
102,https://www.zara.com/us/en/jumpsuit-with-belt-p01165631.html,zara
103,https://www.zara.com/us/en/pack-of-printed-mini-scarves-p08585208.html,zara
104,https://www.zara.com/us/en/limited-edition-leather-bottle-carrier-p03323201.html,zara
105,https://www.zara.com/us/en/combination-hoop-earrings-p04548202.html,zara
106,https://www.zara.com/us/en/pack-of-knotted-headbands-trf-p05580209.html,zara
107,https://www.zara.com/us/en/limited-edition-leather-mini-bag-p03323204.html,zara
108,https://www.zara.com/us/en/pack-of-knotted-headbands-trf-p05580209.html,zara
109,https://www.zara.com/us/en/ribbed-dress-p00085037.html,zara
110,https://www.zara.com/us/en/limited-edition-leather-oval-handbag-trf-p04234201.html,zara
